,segment_id,segmentation_name,start_ts,end_ts,duration_ts,start_frame,end_frame,duration_frame
0,1,Auto Segmentation,00:00:00:00,00:00:00:23,00:00:00:23,0,29,29
1,2,Auto Segmentation,00:00:01:10,00:00:12:23,00:00:11:13,43,389,346
2,3,Auto Segmentation,00:00:11:00,00:06:52:02,00:06:41:01,331,12351,12020
3,4,Auto Segmentation,00:06:53:09,00:07:11:09,00:00:17:23,12390,12929,539
4,5,Auto Segmentation,00:07:11:10,00:08:18:11,00:01:07:00,12930,14939,2009
5,6,Auto Segmentation,00:08:18:11,00:08:28:11,00:00:09:23,14940,15239,299
6,7,Auto Segmentation,00:08:28:12,00:15:40:21,00:07:12:09,15240,28199,12959
7,8,Auto Segmentation,00:15:40:22,00:16:02:22,00:00:21:23,28200,28859,659
8,9,Auto Segmentation,00:16:02:23,00:17:11:15,00:01:08:16,28860,30919,2059
9,10,Auto Segmentation,00:17:12:00,00:24:01:09,00:06:49:09,30930,43199,12269
10,11,Auto Segmentation,00:24:01:10,00:27:20:14,00:03:19:03,43200,49169,5969
11,12,Auto Segmentation,00:27:20:15,00:27:29:14,00:00:08:23,49170,49439,269
12,13,Auto Segmentation,00:27:29:15,00:31:12:20,00:03:43:04,49440,56129,6689
13,14,Auto Segmentation,00:31:12:20,00:35:59:02,00:04:46:06,56130,64709,8579
14,15,Auto Segmentation,00:35:59:03,00:38:27:00,00:02:27:21,64710,69142,4432
15,16,Auto Segmentation,00:38:25:07,00:42:03:11,00:03:38:04,69090,75629,6539
16,17,Auto Segmentation,00:42:03:12,00:42:22:12,00:00:18:23,75630,76199,569
17,18,Auto Segmentation,00:42:21:21,00:48:21:12,00:05:59:15,76180,86959,10779
18,19,Auto Segmentation,00:48:21:12,00:51:14:21,00:02:53:09,86959,92155,5196
19,20,Auto Segmentation,00:51:15:01,00:55:22:06,00:04:07:05,92160,99569,7409
20,21,Auto Segmentation,00:55:22:07,00:57:47:10,00:02:25:02,99570,103919,4349
21,22,Auto Segmentation,00:57:47:11,01:00:27:14,00:02:40:03,103920,108719,4799
22,23,Auto Segmentation,01:00:27:14,01:03:16:18,00:02:49:03,108720,113789,5069
23,24,Auto Segmentation,01:03:16:19,01:04:53:20,00:01:37:01,113790,116699,2909
24,25,Auto Segmentation,01:04:53:21,01:06:40:23,00:01:47:01,116700,119909,3209
25,26,Auto Segmentation,01:06:40:23,01:08:33:01,00:01:52:01,119910,123269,3359
26,27,Auto Segmentation,01:08:33:02,01:09:34:03,00:01:01:00,123270,125099,1829
27,28,Auto Segmentation,01:09:34:04,01:09:52:03,00:00:17:23,125100,125639,539
28,29,Auto Segmentation,01:09:52:04,01:10:09:04,00:00:16:23,125640,126149,509
29,30,Auto Segmentation,01:10:09:17,01:17:05:05,00:06:55:12,126165,138619,12453
